Site,Date,Color,Temp_C
Wildcat,2022-01-16,Black,0.54999999
Wildcat,2022-01-16,White,0.250000004
Wildcat,2022-01-17,Black,0.400000013
Wildcat,2022-01-17,White,0.200000007
Wildcat,2022-01-18,Black,1.600000001
Wildcat,2022-01-18,White,0.300000001
Wildcat,2022-01-19,Black,1.600000054
Wildcat,2022-01-19,White,0.450000003
Wildcat,2022-01-20,Black,1.900000036
Wildcat,2022-01-20,White,0.500000015
Wildcat,2022-01-21,Black,4.500000194
Wildcat,2022-01-21,White,0.700000003
Wildcat,2022-01-22,Black,2.650000047
Wildcat,2022-01-22,White,0.550000012
Wildcat,2022-01-23,Black,2.799999908
Wildcat,2022-01-23,White,0.650000006
Wildcat,2022-01-24,Black,1.400000025
Wildcat,2022-01-24,White,0.500000015
Wildcat,2022-01-25,Black,3.300000042
Wildcat,2022-01-25,White,0.600000001
Wildcat,2022-01-26,Black,0.300000012
Wildcat,2022-01-26,White,0.450000018
Wildcat,2022-01-27,Black,-0.699999988
Wildcat,2022-01-27,White,0.099999994
Wildcat,2022-01-28,Black,-2.049999952
Wildcat,2022-01-28,White,-1.400000025
Wildcat,2022-01-29,Black,-2.100000143
Wildcat,2022-01-29,White,-2.400000006
Wildcat,2022-01-30,Black,-3.600000001
Wildcat,2022-01-30,White,-3.600000024
Wildcat,2022-01-31,Black,0.5
Wildcat,2022-01-31,White,-2.150000047
Wildcat,2022-02-01,Black,-0.299999952
Wildcat,2022-02-01,White,-1.499999952
Wildcat,2022-02-02,Black,1.599999905
Wildcat,2022-02-02,White,-1.300000042
Wildcat,2022-02-03,Black,3.800000191
